"","Espece","Age","Aile","Masse","Annee"
"540","TAPI","HY",70,13.1,2
"541","TAPI","HY",72,16.4,2
"542","TAPI","AHY",70,14.3,2
"543","TAPI","HY",71,13.2,2
"544","TAPI","AHY",74,12.7,2
"545","TAPI","HY",74,13.7,2
"546","TAPI","HY",73,14.6,2
"547","TAPI","AHY",76,14.2,2
"548","TAPI","AHY",69,12.1,2
"549","TAPI","AHY",74,13.6,2
"550","TAPI","HY",71,12.4,2
"551","TAPI","HY",71,13.8,2
"552","TAPI","HY",72,14,2
"553","TAPI","AHY",74,12.5,2
"554","TAPI","HY",70,13.5,2
"555","TAPI","HY",68,12.8,2
"556","TAPI","HY",75,13.1,2
"557","TAPI","HY",74,15.7,2
"558","TAPI","HY",72,NA,2
"559","TAPI","HY",74,13,2
"560","TAPI","AHY",74,12.5,2
"561","TAPI","HY",72,13.7,2
"562","TAPI","AHY",71,12.1,2
"563","TAPI","HY",70,13.1,2
"564","TAPI","AHY",71,12.4,2
"565","TAPI","AHY",76,15.4,2
"566","TAPI","HY",73,12.4,2
"567","TAPI","HY",71,13.1,2
"568","TAPI","AHY",71,14.2,2
"569","TAPI","HY",67,13.8,2
"570","TAPI","AHY",74,15.1,2
"571","TAPI","AHY",74,NA,2
"572","TAPI","AHY",70,11.7,2
"573","TAPI","AHY",72,11.6,2
"574","TAPI","HY",69,12.2,2
"575","TAPI","HY",69,14.2,2
"576","TAPI","HY",71,14.7,2
"577","TAPI","HY",71,12.5,2
"578","TAPI","HY",69,12.8,2
"579","TAPI","HY",68,12.3,2
"580","TAPI","HY",74,13,2
"581","TAPI","HY",73,11.9,2
"582","TAPI","HY",67,12.5,2
"583","TAPI","AHY",73,14.4,2
"584","TAPI","AHY",74,12.6,2
"585","TAPI","HY",71,13.9,2
"586","TAPI","HY",70,13.3,2
"587","TAPI","HY",71,13.1,2
"588","TAPI","HY",70,12.6,2
"589","TAPI","HY",69,11.1,2
"590","TAPI","AHY",74,13.4,2
"591","TAPI","AHY",71,14.1,2
"592","TAPI","AHY",72,13.4,2
"593","TAPI","HY",71,17.8,2
"594","TAPI","AHY",70,12,2
"595","TAPI","HY",68,11.6,2
"596","TAPI","HY",72,13.6,2
"597","TAPI","AHY",71,12.9,2
"598","TAPI","HY",70,13.1,2
"599","TAPI","HY",70,12.6,2
"600","TAPI","HY",72,13,2
"601","TAPI","AHY",70,13.9,2
"602","TAPI","AHY",72,12.9,2
"603","TAPI","AHY",76,12.6,2
"604","TAPI","AHY",72,14.8,2
"605","TAPI","HY",73,13.1,2
"606","TAPI","HY",71,13.6,2
"607","TAPI","AHY",74,14.9,2
"608","TAPI","AHY",70,13,2
"609","TAPI","AHY",71,13.1,2
"610","TAPI","AHY",73,13.2,2
"611","TAPI","AHY",68,12.8,2
"612","TAPI","AHY",76,16,2
"613","TAPI","AHY",74,13.8,2
"614","TAPI","HY",71,11.6,2
"615","TAPI","AHY",74,14.2,2
"616","TAPI","HY",71,13.3,2
"617","TAPI","HY",72,13,2
"618","TAPI","HY",68,12.1,2
"619","TAPI","AHY",73,13.6,2
"620","TAPI","AHY",71,13.5,2
"621","TAPI","HY",72,13.3,2
"622","TAPI","AHY",70,13.6,2
"623","TAPI","HY",70,NA,2
"624","TAPI","AHY",72,14.3,2
"625","TAPI","AHY",74,12.8,2
"626","TAPI","AHY",71,13.3,2
"627","TAPI","AHY",73,13.1,2
"628","TAPI","AHY",74,12.8,2
"629","TAPI","AHY",69,13.6,2
"630","TAPI","AHY",74,13.8,2
"631","TAPI","HY",67,12,2
"632","TAPI","AHY",69,13.1,2
"633","TAPI","AHY",71,14.5,2
"634","TAPI","AHY",72,14.4,2
"635","TAPI","AHY",73,12.8,2
"636","TAPI","HY",71,14.6,2
"637","TAPI","HY",75,12.9,2
"638","TAPI","AHY",75,13.1,2
"639","TAPI","AHY",75,13.4,2
"640","TAPI","AHY",75,13.8,2
"641","TAPI","HY",70,12,2
"642","TAPI","HY",70,12.2,2
"643","TAPI","HY",70,12.1,2
"644","TAPI","HY",72,11.8,2
"645","TAPI","HY",74,13.8,2
"646","TAPI","AHY",71,13.2,2
